Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
4.0,03/12/2024,Tutorial,It was my turn to play my character and the game froze and went back to the login page.,Gameplay for tutorial,Screen got stuck and looped back to login page,Yes,Yes,Heather Gardner
1.0,03/12/2024,Game,bug: Every time I activate a trap card game gets stuck and I can no longer do anything,Game should switch to my turn,It is always the bot's turn,yes,yes,Jonathan Alcantar
,03/12/2024,Game,bug: Game got stuck in arena after matchmaking,Match should have started,"Game is stuck, cannot do anything",yes,yes,Jonathan Alcantar
1.0,03/12/2024,Adventure Page,bug: After clicking on a mission you wont be able to click on anything else and brick the game.,Expected to go back to menu normally and play a mission,Get stuck in adventure mode and cant go back unless you quit,yes,yes,Jayms Stockdale
4.0,03/12/2024,UI,bug: Back button functionality,Expect to go back to the previous menu,Goes back to previous menu AND LOGS PLAYER OUT,YES,Maybe,Jayms Stockdale
6.0,02/27/2024,game,"Bug: force quite game, back to relogin page",play a game against an opponent,"game froze, then sent me back to my log 
 in page",yes,yes,Jared Immerman
7.0,02/27/2024,login,Bug: log in after previous force quite,"stuck on ""Login with email…""",log in,no,yes,Jared Immerman
8.0,02/27/2024,game,"Bug: in game, AI Player 1 timer stopped",timer would continue to count down,"timer stopped at 72 seconds, I was
 clicking on my cards to place, not during
 my turn",no,yes,Jared Immerman
9.0,02/27/2024,main page/game,bug: searching for game,"find a game, or notify that game could not be
 found","game froze, then sent me back to my log 
 in page",no,yes,Jared Immerman
13.0,03/12/2024,game,"Game crashed and sent me back to PLAY GAME 
 screen",Playing the game,Game crashed,no,yes,Jared Immerman
1.0,03/11/2024,UI,Back Button doesn't work on Adventure Select Screen,Return to Main menu or to previous menu,Doesn't do anything,yes,yes,Jaztin Tabunda
2.0,03/11/2024,UI,Home Button doesn't work on Adventure Select Screen,Return to Main menu,Doesn't do anything,yes,yes,Jaztin Tabunda
5.0,03/11/2024,UI,Play Button on Adventure Select Screen doesn't work,Should get me into a game,Doesn't do anything,yes,yes,Jaztin Tabunda
9.0,03/11/2024,Game,Battles sometimes don't load in Arena,Load into AI Battle in Arena,Stuck in Battle but no cards load,yes,yes,Jaztin Tabunda
3.0,03/11/2024,Game: Card Usage,I was in an arena against a bot when I used a void trap I had previously set down before to one shot an enemy guardian that was placed during their main phase.,Use the trap card I had set down to one shot an enemy's guardian during their main phase.,"A 10 second timer popped up and I used the card before the timer expired. However, I waited a few more seconds knowing that it would be past the 10 second timer I was originally given(At this point though the timer disappers and I am given a menu to select which guardian I want to attack). At this point I selected which guardian I wanted to attack and nothing happen which lead me to a blocker state.",yes,yes,Herbert Alvarenga
1.0,03/10/2024,Game,Started Arena game,Game to start,"Game did not start, had to refresh and log back in",no,yes,Eduard Hovhannisyan
2.0,03/10/2024,Login,Upon game failure had to log back in,"A lot of steps to login, and the browser does not enter the game,,, upon every refres, I had to go through same login process","Upon page refres, the game did not load automatically",yes,yes,Eduard Hovhannisyan
2.0,03/11/2024,Main Page,bug: settings -> exit button does not work,close the pop-up,it doesn’t do anything,yes,yes,Yashira Almanza
4.0,03/11/2024,UI,bug: adventure -> back up button doesn’t work,backup button would take me back to main page,It doesn’t take me back,yes,yes,Yashira Almanza
5.0,03/11/2014,UI,bug: adventure -> 'deck builder' button doesn’t work,to take me to build the deck,it doesn’t work,yes,yes,Yashira Almanza
6.0,03/11/2024,UI,bug: adventure -> 'house' button doesn’t work,to take to the main page,it didn't take anymore,yes,yes,Yashira Almanza
2.0,03/12/2024,Login/Adventure,Home button does not work,Return to the main menu,Nothing happens,yes,Yes,Jorge Enriquez
3.0,03/12/2024,Login/Adventure,User Case: No way of going to main menu,Either back button or home button returns to main menu,User is soft locked in Adventure select,Yes,Yes,Jorge Enriquez
2.0,03/11/2024,Game,Bug: Sometimes it does not let me attack.,I expected to attack.,Could not attack.,Yes,Yes,Angel Venegas
1.0,03/10/2024,Adventure Page,Accessing any of the UI in adventure doesn't work,To be able to access at least the exit button,User is stuck at the Adventure page,yes,yes,Christina Mourad
1.0,03/10/2024,Game,bug: activating void trap pauses the turn timer,activating void trap should take effect and continue the turn,activating void trap does nothing and stops the match from progressing,yes,yes,Justin Reyes
4.0,03/12/2024,Arena/In game,user case: I was in a middle of a battle and I had to login again,I thought I was going to be playing a normal game,I had to login again while playing,no,yes,Mansoor Amza
5.0,03/12/2024,Authenticating page,user case: After being interuppted in my battle I was told to login. So i did and I'm stuck on the page just waiting listening to the battle music,I expected to login like normal,I am stuck in the authenticating page where I hear the battle music,no,Yes,Mansoor Amza
2.0,03/11/2024,UI,When doing the Deck Builder Tutorial the Info Cut in blocks the view of button,When I do the Deck Tutorial the Info Cut in dosen't block my view of the button,I cant really click on it since its blocked,yes,yes,Christopher Poveda
3.0,03/11/2024,UI,Following the steps above if you let it time out and log you out the Info Cut-in doesn't disapear and can't click to re-login,I expect it the game and UI elements to fully reset,"It dosen't fully reset, still have UI elements in the login screen",yes,yes,Christopher Poveda
4.0,03/12/2024,Adventure,When I click on the adventure tab non of the buttons work and I can't go back.,To be able to play the adventure tab or at least be able to go back to the home page,"Nothing, not even the home or back buttons work",Yes,Yes,Brandon Hakimi
,03/12/2024,Server,Logged in and kept getting kicked out,To get into the game,"""Logging in with email…",No,Yes,Brandon Hakimi
2.0,03/05/2024,Game,User: Latency indicator blocking GUI elements,Latency indicator owns its own spot on the page,Latency indicator covering GUI elements,Yes,Yes,Grigor Azakian
2.0,03/05/2024,Game,User: Latency indicator blocking GUI elements,Latency indicator owns its own spot on the page,Latency indicator covering GUI elements,Yes,Yes,Grigor Azakian
4.0,03/11/2024,Game,Bug: Stuck on adventures screen,Be able to select an adventure or return,Can't return to main screen without having to login again due to buttons not working,yes,yes,Paige Watanabe
1.0,03/07/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page,yes,yes,Rahi Misra
2.0,03/12/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page,yes,yes,Rahi Misra
0.0,03/11/2024,Game,Stuck on adventure select page,buttons to work on adventure select,no buttons work,yes,yes,Jean Hanna
1.0,03/11/2024,Logging in,Stuck on authenticating,Authenticates,Does not authenticate,yes,yes,Jean Hanna
1.0,02/27/2024,Game,Playing tutorial,Instruct us how to play as a beginner,Got kicked out the game mid tutorial,Yes,Yes,Andrew Gabriel
3.0,03/05/2024,Game,Playing in arena,Play with other opponent in arena,In the middle of the game was sent back to the login page,Yes,Yes,Andrew Gabriel
4.0,03/05/2024,Main Page,"Click on either arena, adventure, tutorials, nft shops, settings",register on click,"The game would not register that I'm pressing one of the options. Once it finally registered for arena button would not let me click ""cancel""",Yes,Yes,Andrew Gabriel
1.0,03/12/2024,Game,Cannot Exit Adventure menu,be able to exit,couldn’t exit,yes,yes,Dawson Ford
3.0,03/11/2024,UI,"bug: Starting the deck builder tutorial, you can back out of the tutorial but the limited clicking region remains, locking the game.",Exiting the tutorial clears the click lock region.,Exiting the tutorial does not clear the click lock region.,yes,yes,Connor Beaudoin
2.0,03/12/2024,Game,"user case: Went into Arena, got into battlefield but nothing else loaded",To battle opponent,Infinite load time,yes,Yes,Ryan Kao
3.0,03/12/2024,Game,User case: Opponent went and instantly crashed,Be able to play in Arena,Sent back into Login screen,yes,Yes,Ryan Kao
2.0,03/12/2024,UI,"Adventure Select: Almost all of the buttons have no function, missions are not selectable. Cannot exit adventure select.","Navigation, mission activation.",No response or mission select for any option.,yes,yes,Elizabeth Morgan
6.0,03/12/2024,Game,Arena AI Player: Activating trap card freezes game.,Typical gameplay,"Game freezes, counter stops",yes,yes,Elizabeth Morgan
1.0,,Arena AI,Stuck on AI turn(timer stuck at 71),AI continues to make decisions,AI placed first card down. I activated my trap card and nothing happenned. Then the aAI was stuck at 71 on the timer(Same bug that occurred last test) Card I tried to activate was Rain of arrows,Sometimes,yes,Andrew Demirjian
1.0,03/07/2024,UI,Unable to escape Adventure mode,Go back to main menu when clicking on back arrow in Adventure mode,Nothing happens when clicking back arrow,yes,Yes,Randy Herrera
1.0,03/02/2024,game,playing arena,playing the AI player should go the same as any other match,"when playing, the game got stuck at the AI's turn as the counter didnt go down and the AI didnt play a move. I had to surrender to progress",no,yes,shelby gallegos
1.0,03/10/2024,Game,Bug: I clicked on adventure mode and the screen got stuck on that page. I had to close the entire EG tab to reenter the game,I expected to be able to play 1-1 of AM or at least be able to exit the screen,"Screen was stuck, exit buttons did not work",yes,Yes,Haylee Allen
4.0,03/01/2024,Game,No preset decks,simple presets to help learn,have to make own deck,yes,yes,Jake Anderson
5.0,03/01/2024,Game,Deck builder A-Z sort doesn't work,sort A-Z,somewhat sorted not full,yes,yes,Jake Anderson
6.0,03/10/2024,Game,Adventure select not working,Click on first level to play,play button not working,yes,yes,Jake Anderson
7.0,03/10/2024,Main page,Settings opens behind news window,Open in front of news,Opens behind,yes,yes,Jake Anderson
2.0,03/09/2024,UI/Game,Adventure's UI doesn't work,The UI in adventure mode should allow the user to exit/choose a mission,"Only selecting the mission works. Play/Exit/Home button does not work, leading the user to refresh the page to continue.",Yes,Yes,Bao Ngo
1.0,03/08/2024,Authenticating,Stuck on Authentication,Expected to authenticate me,It got stuck on the authenticating page,no,Yes,Shiva Ramezani
2.0,03/08/2024,Log in,high volume of users,Expected to log in after authentication,pop up error: Due to the high volume of users not able to process,no,Yes,Shiva Ramezani
3.0,03/08/2024,Log in,log in loading,Expected to log in,It got stuck in loging in page,yes,yes,Shiva Ramezani
1.0,03/08/2024,Authenticating,Stuck on Authentication,Expected to authenticate me,It got stuck on the authenticating page,no,Yes,Kevin Chaja
2.0,03/08/2024,Log in,high volume of users,Expected to log in after authentication,pop up error: Due to the high volume of users not able to process,no,Yes,Kevin Chaja
3.0,03/08/2024,Log in,log in loading,Expected to log in,It got stuck in loging in page,yes,yes,Kevin Chaja
1.0,,UI,In player profile view. The Player Frame does not show anything on click,Expected to see something,Did nothing on click,Yes,yes,Salman Khan
2.0,03/11/2025,UI,i noticed while in setting menu that the X button on top right does not exit out.,Expected to exist out,Did not exist on click,yes,yes,Salman Khan
2.0,03/10/2024,Aventure select,bug,expected to go back or home page,back & home button not working,yes,yes,Moises Alvarez
4.0,03/10/2024,Arena,bug,Matcmaking Arena,"stuck! nothing happened, no buttons work",yes,yes,Moises Alvarez
,03/09/2024,Main Page,bug: cannot play deck building tutoria,play button leads to tutorial,nothing happens,yes,Yes,Tommy Tran
,03/09/2024,Game,ex bug: Played against AI doesnt respond,change turn after going,didnt change turns after putting first card down,yes,yes,Tommy Tran
,03/09/2024,Main Page,bug: cannot return to home screen from adventure tab,home or return button to take me back to home screen,nothing happens,yes,yes,Tommy Tran
4.0,03/06/2024,Game,"Game will not let 
 one of the players 
 perform operations 
 (draw,battle, main phase, 
 etc.) if you leave the 
 tab during a turn change
 Has done both for user 
 and AI","Game runsas 
 normal in the 
 background","Game glitches
 and one of the 
 players will not
 be able to play
 on their turn
 throghout",Yes,Yes,Joey Kaz
5.0,03/06/2024,Game,"If for some reason you
 attempt to draw a card 
 during the opponent 
 turn, the opponent cannot
 procede","Game ignores 
 request and lets
 opponent play","Only you can 
 proceed with the
 game steps",Yes,Yes,Joey Kaz
1.0,03/07/2024,Login Queue,Page not working properly,Be able to work and start playing,Page not working properly,Yes,Yes,Sayra Reyes
3.0,02/27/2024,Main Page,"Once user is on the Main Page screen, user clicks on the round Friends button on the right. User sees a friends menu sliding form the right. User then clicks ""Add Friend"", a screen appears, the background becomes blurry. User then clicks on the X button to close the screen. The pop-up disappers but the Main Page screen remains blurry for the user, nothing is clickable. User has to reload the game and log in again. See image file attached to the submission.",User can close the Friends pop-up using the X button and successfully return to the Main Page.,User can close the Friends pop-up using the X button but can't access the Main Page anymore.,Yes,Yes,Yana Zaynullina
1.0,02/27/2024,Game,Playing tutorial,Instruct us how to play as a beginner,Got kicked out the game mid tutorial,Yes,Yes,Andrew Gabriel
1.0,02/26/2024,First Gameplay Tutorial,Game board doesn't display on Chrome web browser,Game board is displayed,Black screeen,yes,yes,Rishabh Chadha
2.0,02/26/2024,First Gameplay Tutorial,Game board doesn't display on Safari web browser,Game board is displayed,Black screen,yes,yes,Rishabh Chadha
3.0,02/26/2024,Tutorials,Play button for Deck Build Tutorial not working,Go to Deck Build Tutorial,"Closes ""Tutorials"" screen",yes,yes,Rishabh Chadha
,02/28/2024,Friends List,Navigating to friends list then exiting stops at a blurred screen that can't be clicked on,Menu to slide away and blur screen to fade,Screen stuck on blur effect,yes,yes,Anastasia Naydina
4.0,02/21/2024,Main Page,Cannot access the deck building tutorial,Should be able to play the deck building tutorial,I stay on the main page,yes,yes,Dawson Ford
1.0,02/27/2024,UI/Deck Builder Tutorial,bug: Play botton does not work,Deck Builder Tutirial starts,Nothing Happens,yes,yes,Narek Karapetyan
2.0,02/22/2024,BUG - Add Friends Button,"Clicking on the Add Friends button and going back to the Home Page causes the Home Page to be entirely unclickable, requiring a re-login",Going Back to Home Page and Interacting with options given to me,,yes,yes,Bryan Avila
0.0,02/21/2024,Game/Main Page,Coins are offered again after completing the tutorial,Complete tutorial and continue the game,Looped behaviour after tutorial,No,Yes,Raymond Gharapeti Babayans
1.0,02/27/2024,Login,After completeing the tutorial and going back to the login screen it got stuck on login with email,Login with email,"Screen got stuck on ""login with email""",Yes,Yes,Heather Gardner
4.0,02/27/2024,Game,Gameplay Tutorial,Play game/tutorial,"Error ""An error occurred running he unity content on this page. See your browser JavaScript console for more info. The error was:abort(275)at Error at jsStackTrace(https://www.endersgate.app/build/EndersGateTCG.framework.js:2:16364",Yes,Yes,Heather Gardner
3.0,02/27/2024,Reloading the game(Refreshing Page,"One of the bugs I found in the game is that if I try to reload the page the game would crash and disconnect me from the servers, as well the loading connecting to servers appear again like the one from test #2","Expected not to be disconnected from the server and load current game = current server, instead of that the game seems to disconnect current player if refresh",player has been disconnected from the server and the current server has been,yes,yes,Javier Galan
6.0,02/22/2024,Game,User Case,"I expect that when I click ""Arena"", that it would only take a few second for the ""matchmaking"" to happen so I can actually play","When I click ""Arena"" it tells me ""Matchmaking...Please wait"" and then nothing happens",Yes,Yes,Mirna Farahat
3.0,02/22/2024,Game,Game starts in endless loop,"Launch game, execute turn","Launch game, turn timer cycles quickly back and forth. User cannot do anything",no,Yes,Randy Herrera
8.0,02/27/2024,Game,Refreshing does not fix frozen state,Refresh the page to undo a frozen game state,"After refresh, all games remain in frozen unplayable state",yes,Yes,Randy Herrera
1.0,02/21/2024,Turotial,Bug: Deck BuilderTutorial,Go to the Deck Builder Tutorial,When Clicked Nothing Happened and it says i completed it,No,Yes,Ramon
2.0,02/21/2024,Turotial,Bug: Normal Tutorial practrice,Activating trap card  void trap,The AI Froze and could not continue game,Yes,Yes,Ramon
1.0,02/24/2024,Main Page,Clicking the Deck Builder Tutorial doesn't work.,Click 'Play' on Deck Builder Tutorial and boot open the Deck Builder Tutorial,"Click 'Play' on Deck Builder Tutorial, closed the Tutorial screen, and did nothing",Y,Y,Peter Hernandez
2.0,02/24/2024,Main Page,Clicking into the Card Deck Menu,"Click Deck Builder option, clicked back to Main Page, and Deck Builder Tutorial was marked 'complete'",Deck Builder Tutorial to remain incomplete until I actualy play it,Y,Y,Peter Hernandez
8.0,02/24/2024,refresh page,Starts all over with authentication,would refresh and stay in the home page since I was already logged in and authenticated,refreshed to the beginning and had to authenticate all over again,yes,Yes,Mimi Truong
14.0,02/24/2024,game play,battle mode not activated,first round fo rme to have battle mode,I wasnt able to battle but oponent was.,yes,Yes,Mimi Truong
15.0,02/24/2024,game play,timer stuck,timer moving,timer for opponent stuck,yes,Yes,Mimi Truong
16.0,02/27/2024,game play,Page frozen,Tutorial battle starting,"Nothing , the whole page froze",Yes,yes,Mimi Truong
17.0,02/27/2024,Arena Game,"Moved to new tab, came back and game logged me out",Battle begins,logged me out and now I have to take the extra million steps to authenticate myself,Yes,yes,Mimi Truong
18.0,02/27/2024,connect to server,Still connecting to server after several minutes after authentication,home page loads,still connecting to the server since everyone is playing,Yes,Yes,Mimi Truong
1.0,02/24/2024,Main Page,Clicking on PLAY for the deck tutorial doesn't work.,The Deck Tutorial to Begin,The side bar moves away and nothing else.,yes,yes,Melchor Abalos
2.0,02/25/2024,Main Page,bug: Deck Tutorial appears complete,Play the tutorial deck,Appears completed but I havent play it yet,yes,yes,Jorge Torrez
4.0,02/25/2024,Game,bug: the game froze but the music continues,Continue playing,The game froze in the middle of match,no,yes,Jorge Torrez
2.0,02/27/2024,Game,User: Latency indicator blocking GUI elements,Latency indicator owns its own spot on the page,Latency indicator covering GUI elements,Tes,Yes,Grigor Azakian
1.0,02/27/2024,Login/UI/Game/FindMatch  Login/UI/Game/training,"Bug: Whenever I try to find a match online or go to the training, the game does not load into the game, and is just stuck loading the match",I would get in a match,The game does not load into the match,Yes,Yes,Omar Garcia
4.0,02/27/2024,Login/UI/Game/Friends,"Bug? Whenever I ask friend to battle, and they accept, the game loads in, but logs both of us out",Expecting to play with a friend,I couldn't get a game and it always logged both of us out,Yes,Yes,Omar Garcia
3.0,02/25/2024,flip card,"bug: whenever i try to flip the ""void trap"" card the game stops working (i still hear the game and see the game background effects moving, but timer stops.)",do as the card is exepcted.,game stops,yes (played 2 games),Yes,Victor Um
4.0,02/27/2024,login,bug: unable to connect to server after doing the authorization,connect me to the server,stuck on a screen that says connectng to server,no,yes,Victor Um
2.0,02/27/2024,Deck Builder Tutorial,Clicking play does not start tutorial,Start the tutorial,Does not start tutorial,yes,yes,Jonathan Alcantar
3.0,02/22/2024,Game,bug: could not click on any buttons at the beginning of training mode,should be able to progress turns or exit game with buttons,nothing happens,no,yes,Justin Reyes
6.0,02/24/2024,Game,"bug: in training mode, selecting rain of arrows during enemy turn pauses timer indefinitely and stops AI from acting",rain of arrows should damage the selected enemy cards and turn should continue,game is soft locked because the AI stops moving,yes,yes,Justin Reyes
7.0,02/26/2024,Game,bug: battle won't start in training mode,battle should start when getting into training mode,music is playing but battle does not start,no,yes,Justin Reyes
2.0,02/27/2024,Main Page,Stuck on Connecting to Server,Message to appear but connect and move on,Stuck on connecting screen,yes,Yes,Jack Konyan
3.0,02/27/2024,Game,Tutorial battle,Attack player and win game,No action is available to take,no,yes,Jack Konyan
5.0,02/27/2024,Game,Launch Deck Builder Tutorial,Tutorial starts,Nothing happens and tutorial is marked as complete,No,Yes,Jack Konyan
2.0,02/21/2024,Game: Card Usage,"I actvatied Rain of Arrows, when a prompt came up for it during a practice battle",Use the face down card once I activated it,My game reached a blocker state where the game no longer progressed (Timer paused but no game crash),no,yes,Herbert Alvarenga
5.0,02/27/2024,Main Page,beginning next tutorial after the first is completed,second tutorial begins,doesn't run tutorial,yes,yes,Christina Mourad
0.0,,Login/UI/Game/Main Page,"Bug: I am on Mac OS and when I click on “New Player” it takes me to a tutorial and it says “To begin the game, draw a new card.” And it does not let me draw any cards. The browser I am playing on is Chrome.",I expected the game to let me draw a card with my mouse.,What actually happened is that it did not let me click on a card to draw.,yes,Yes,"Your name
Angel Venegas"
1.0,02/25/2024,Main Page,User Case I tried scrolling left and right when,I expected left and right scrolling,No left and right scrolling.,Yes,Yes,Angel Venegas
2.0,02/27/2024,Login,"user case: after using email to login, return back to the original page, it shows ""connectting to the server"", and never goes to the next step",go to the main page,stays in the login page,yes,yes,Hannah Xie
2.0,02/21/2024,Main Page,Unable to access deck builder tutorial.,Start tutorial.,Menu closes.,yes,yes,Elizabeth Morgan
4.0,02/21/2024,Game,"Tutorial 1 - Clicking on the fighter card brings up a window to activate or retire the card, causes tutorial cutscene to lock.",Typical gameplay.,Game in a locked state.,yes,yes,Elizabeth Morgan
5.0,02/21/2024,Game,"Tutorial 1 - Retired all attack cards during turn, between tutorial scenes.",Action prevented by game.,"Game in stalemate, timer/turns run forever.",yes,yes,Elizabeth Morgan
7.0,02/21/2024,Game,"Adventure, AI Battle – During enemy turn, I spammed clicked the phase button and the AI is unable to react. Timer also stopped counting down.",Ignored clicks.,Game in frozen state.,,yes,Elizabeth Morgan
10.0,02/25/2024,Game,"Arena – After matching with another player the game never starts, the Exit Tutorial button is present, so this could be related to the tutorial testing I was doing beforehand. Edit: upon logging out and logging back in, the error persists. I am unable to play with human players.",Typical gameplay with human player.,Game never starts beyond viewing the empty board with 120 timer.,yes,yes,Elizabeth Morgan
3.0,02/26/2024,Main Page/Online Friends,Blurry and unresponsive main page,Expected to go back to the main page after looking at the  online players list,"When clicking on the upper right button for online players list and then trying to go back to the main page, we are left with a blurry image of the main page (like the background we had when we were looking at the online players list). Trying to click buttons did not work and had to reload website and log back in.",Yes,Yes,Angeles Montalvo
6.0,02/26/2024,First Gameplay Tutorial,Tutorial could not be completed,"Being able to select cards, mark the checkmark box ""Complete the tasks…"", see the background","The entire time the background of the game was black (same thing happened in Trainning Mode), could not select any of the cards, could not check the box under Luna's dialogue, and a blue box/square was misplaced on the lower right I think the box is where Luna's dialogue is supposed to go. After exiting the tutorial it was marked as COMPLETE even though it wasn't completed",Yes,Yes,Angeles Montalvo
2.0,02/27/2024,UI,"Bug: Opening friends list and then open ""Add Friends"" and then closing both menus",Close both menus and return to menu,Menu is unable to be intreacted and is blurred. Cannot be resolved until you refresh the page,yes,Yes,Jae Molina
1.0,02/25/2024,Login,Magic Authentication link times out and doesn’t recover,Allow sign in after new sign in attempt,Keeps asking for request signature,yes,Yes,Jaber Mazari
2.0,02/26/2024,Login,"Literally the same issue as before, can't login magic authentication keeps timing out before it can authenticate me",Allow sign in after new sign in attempt,Please go back to Endersgate and sign the request again,yes,yes,Jaber Mazari
2.0,02/21/2024,Main Page,"bug: Clicking ""Tutorials"" -> Deck Builder Tutorial does nothing",Take me to Deck Builder Tutorial,"Closes ""tutorials"" menu and stays on main page",yes,yes,Tum Jomkhanthiphol
6.0,02/27/2024,game,"Bug: force quite game, back to relogin page",play a game against an opponent,"game froze, then sent me back to my log 
in page",yes,yes,Jared Immerman
7.0,02/27/2024,login,Bug: log in after previous force quite,"stuck on ""Login with email…""",log in,no,yes,Jared Immerman
8.0,02/27/2024,game,"Bug: in game, AI Player 1 timer stopped",timer would continue to count down,"timer stopped at 72 seconds, I was
clicking on my cards to place, not during
my turn",no,yes,Jared Immerman
9.0,02/27/2024,main page/game,bug: searching for game,"find a game, or notify that game could not be
found","game froze, then sent me back to my log 
in page",no,yes,Jared Immerman
1.0,02/23/2024,Tutorial,Card cannot be clicked on. Prevented by an overlay,Exit out of the overlay or click on required card to continue,Overlay card prevents further progress,Yes,Yes,Jorge Enriquez
1.0,02/21/2024,Main Page,"When exiting out of the friends menu, the game stays blurred and doesn't allow me to proceed to the rest of the game",I expect to continue to the rest of the game,The game stays blurred,yes,yes,Garrette Clarke
1.0,02/20/2024,Main Page,bug:The deck builder tutorial button did not work.,I expected to show the tutorial for the builder deck,"I couldn’t complete the tutorial. But when in went back to it, it said completed.",yes,yes,Yashira Almanza
2.0,02/27/2024,Game,"user case: extreamly high latency on windows 11 pc, running on chrome browser. Specs: i9900kf, 2070 super, 32gb ram ddr4, m.2 ssd. Hardwired Lan connection to internet",Expected game to run smoothly. The game does run well on my macbook pro with an m1 pro chip on chrome browser.,"Super high latency causing game run very poorly, practactly makes game unplayable",yes,yes,Jayms Stockdale
2.0,02/23/2024,Game,"When playing against AI in training mode, AI freezes after player selects a card to activate on the AI’s turn",Activation of card to resolve and the game state to continue,AI froze during its main phase 1,yes,yes,Donald Cruz
5.0,02/28/2024,Game,ex bug: clicking deck tutorial won't let me play,I expected to play the deck tutorial,I can't play it,yes,Yes,Mansoor Amza
6.0,02/28/2024,Game,ex bug: clicking deck tutorial exits out or the tutorial side bar,I expected to play the tutorial,I exit the tutorial side bar,yes,yes,Mansoor Amza
0.0,02/26/2024,Gameplay Tutorial Page,"Bug: The E-Axe Void Mode overlay became stuck after double clickg the ""Gargoyle"" card and clicking ""Activate"". When it was time to enhance the stats of the Guardian using action cards, the card was not selectable since the E-Axe Void Mode overlay was in the way","I expected the overlay to disapear when the Gargoyle card was ""Activated""",The E-Axe Void Mode overlay stayed on the screen and prevented progression of the tutorial,Yes,Yes,Katrina Ortiz
1.0,02/26/2024,Gameplay Tutorial Page,"Bug: When aggressively clicking around during the phase selector for Main Phase 2, the highlight box got stuck and the phase selector overlay disappeared",I expected the phase selector overlay to be able to come back after clicking off of it,The phase selector overlay dispeared and the highlight box remains and the tutorial was stuck,Yes,Yes,Katrina Ortiz
15.0,02/27/2024,Add Friends Page,"Bug: After closing the ""Add Friends"", the background stays blurry and prevents further navigation of the website","I expect the background to return to normal after closing the ""Add Friends"" page","The background remained blurry after closing the ""Add Friends"" background and prevented further navigation of the website",Yes,Yes,Katrina Ortiz
24.0,02/27/2024,Gameplay Tutorial Page,"Bug: I was able click ""Activate"" on the ""Cursed Jian"" card before the Main Phase 2 stage in the Gameplay tutorial and the tutorial became stuck and was not able to progress since the ""Cursed Jian"" overlay was covering the card I was supposed to ""Set"" to progress the tutorial",I expect to be prevented from doing something in the Gameplay tutorial that is not meant to happen at that stage in the tutorial,"I was able click ""Activate"" on the ""Cursed Jian"" card before the Main Phase 2 stage in the Gameplay tutorial and the tutorial became stuck and was not able to progress since the ""Cursed Jian"" overlay was covering the card I was supposed to ""Set"" to progress the tutorial",Yes,Yes,Katrina Ortiz
3.0,02/27/2024,Main Page,bug: randomly disconnected,The game would stay open,The game logged out,yes,yes,Rahi Misra
4.0,02/27/2024,Login,bug: stuck in authentication screen after logout,The game would let me log back in,Had to open game in new tab,yes,yes,Rahi Misra
5.0,02/27/2024,Login,bug: cannot connect to server,Get into game after authentication,Stuck connecting to server,yes,yes,Rahi Misra
2.0,02/26/2024,Game,Bug: Locked on the Tutorial,I should only be allowed to directly attack the tutorial oppenent and nothing else,You can click to attack the oppenent's remaining guardian and lock yourself in turn 5,yes,yes,Christopher Poveda
4.0,02/26/2024,Game,"Bug: Timer still counts down during tutorial instructional pop-ups, auto logs you out after",That the timer stops until user completes the task,Timer counts down and have to wait till it's your turn again. Logs you out because of inactivity,yes,yes,Christopher Poveda
5.0,02/26/2024,Game,"Bug: In the Tutorial when prompted to use Cursed JIAN, Earth Cocktail, etc you can double click the card quickly and be unable to actually use the cards on your guardians",I am blocked from double clicking on the card thus have no way of deselecting it,"I double click the card(s) and am now at a disadvantage in the tutorial, locks me after pressing attack phase",yes,yes,christopher Poveda
2.0,02/27/2024,Game,Game logged out user during gameplay tutorial,Smooth gameplay experience,"Laggy experience leading to user signed out, music can still be heard",yes,yes,Eddy Ceniza
7.0,02/27/2024,UI,"bug: A blur layer added when clicking ""Add Friends"" never goes away.","Clicking out of the ""Add Friends"" menu removes the blur background.","Clicking out of the ""Add Friends"" menu does not remove the blur background.",yes,yes,Connor Beaudoin
15.0,02/27/2024,Game,"bug: During the tutorial, the blue clickable region allows interacting with outside elements which can block progression. By swishing the mouse back and forth quickly over the barrier of the blue region the neighboring card can become selected. Then, the ""activate"" button is within the clickable blue region which can cause a popup menu that blocks progression and the buttons to interact with it are outside of the blue region which is still the original card the tutorial intended for you to click.",The blue region prevents outside interactions OR there is no region restriction to prevent blocking progression.,The tutorial becomes unable to continue.,yes,yes,Connor Beaudoin
1.0,,Deck Build Tutorial,Stuck In Deck Builder Tutorial,Continue with the Deck Builder tutorial,"After saving my deck name screen goes to Welcome to Enders Gate screen, but I am still getting the tutorial HUD and clicks don't do anything",yes,yes,Andrew Demirjian
2.0,,Log In,Stuck at Login with email screen,The ability to try to login again,"After attempting to login, if the user exits the login prompt before doing so the game returns to the log in page saying ""Login with email..."", but no buttons work",yes,yes,Andrew Demirjian
1.0,02/20/2024,Game,"Would not let me select guardian to activate 
 abilities",Move to next phase/turn/battle,Game would not let me advance,no,Yes,Joey Kaz
